behavior_id,emotion_id,emotion_zh_label,prompt,negative_prompt,output_name,output_format,requires_bvh_without_t_pose
Behavior.IdleLowPower,neutral,中性,"A human performer stands quietly with subtle breathing, a slow head scan, soft eye movement, and occasional finger relaxation, performed with neutral emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlelowpower__neutral.bvh,bvh_without_t_pose,True
Behavior.IdleLowPower,sad,悲伤,"A human performer stands quietly with subtle breathing, a slow head scan, soft eye movement, and occasional finger relaxation, performed with sad emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlelowpower__sad.bvh,bvh_without_t_pose,True
Behavior.IdleLowPower,happy,开心,"A human performer stands quietly with subtle breathing, a slow head scan, soft eye movement, and occasional finger relaxation, performed with happy emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlelowpower__happy.bvh,bvh_without_t_pose,True
Behavior.IdleLowPower,angry,愤怒,"A human performer stands quietly with subtle breathing, a slow head scan, soft eye movement, and occasional finger relaxation, performed with angry emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlelowpower__angry.bvh,bvh_without_t_pose,True
Behavior.IdleLowPower,surprise,惊讶,"A human performer stands quietly with subtle breathing, a slow head scan, soft eye movement, and occasional finger relaxation, performed with surprise emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlelowpower__surprise.bvh,bvh_without_t_pose,True
Behavior.IdleLowPower,fear,恐惧,"A human performer stands quietly with subtle breathing, a slow head scan, soft eye movement, and occasional finger relaxation, performed with fear emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlelowpower__fear.bvh,bvh_without_t_pose,True
Behavior.IdleQuiet,neutral,中性,"A human performer quietly looks down at their own arms while gently alternating the hands near the chest, performed with neutral emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlequiet__neutral.bvh,bvh_without_t_pose,True
Behavior.IdleQuiet,sad,悲伤,"A human performer quietly looks down at their own arms while gently alternating the hands near the chest, performed with sad emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlequiet__sad.bvh,bvh_without_t_pose,True
Behavior.IdleQuiet,happy,开心,"A human performer quietly looks down at their own arms while gently alternating the hands near the chest, performed with happy emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlequiet__happy.bvh,bvh_without_t_pose,True
Behavior.IdleQuiet,angry,愤怒,"A human performer quietly looks down at their own arms while gently alternating the hands near the chest, performed with angry emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlequiet__angry.bvh,bvh_without_t_pose,True
Behavior.IdleQuiet,surprise,惊讶,"A human performer quietly looks down at their own arms while gently alternating the hands near the chest, performed with surprise emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlequiet__surprise.bvh,bvh_without_t_pose,True
Behavior.IdleQuiet,fear,恐惧,"A human performer quietly looks down at their own arms while gently alternating the hands near the chest, performed with fear emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idlequiet__fear.bvh,bvh_without_t_pose,True
Behavior.IdleAttentive,neutral,中性,"A human performer holds an attentive idle pose, glancing down at the body with small head turns and gentle hand movement, performed with neutral emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idleattentive__neutral.bvh,bvh_without_t_pose,True
Behavior.IdleAttentive,sad,悲伤,"A human performer holds an attentive idle pose, glancing down at the body with small head turns and gentle hand movement, performed with sad emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idleattentive__sad.bvh,bvh_without_t_pose,True
Behavior.IdleAttentive,happy,开心,"A human performer holds an attentive idle pose, glancing down at the body with small head turns and gentle hand movement, performed with happy emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idleattentive__happy.bvh,bvh_without_t_pose,True
Behavior.IdleAttentive,angry,愤怒,"A human performer holds an attentive idle pose, glancing down at the body with small head turns and gentle hand movement, performed with angry emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idleattentive__angry.bvh,bvh_without_t_pose,True
Behavior.IdleAttentive,surprise,惊讶,"A human performer holds an attentive idle pose, glancing down at the body with small head turns and gentle hand movement, performed with surprise emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idleattentive__surprise.bvh,bvh_without_t_pose,True
Behavior.IdleAttentive,fear,恐惧,"A human performer holds an attentive idle pose, glancing down at the body with small head turns and gentle hand movement, performed with fear emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",idleattentive__fear.bvh,bvh_without_t_pose,True
Behavior.InteractPresence,neutral,中性,"A human performer maintains an engaged standing presence toward another person with brief gaze breaks and irregular gentle torso sway, performed with neutral emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",interactpresence__neutral.bvh,bvh_without_t_pose,True
Behavior.InteractPresence,sad,悲伤,"A human performer maintains an engaged standing presence toward another person with brief gaze breaks and irregular gentle torso sway, performed with sad emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",interactpresence__sad.bvh,bvh_without_t_pose,True
Behavior.InteractPresence,happy,开心,"A human performer maintains an engaged standing presence toward another person with brief gaze breaks and irregular gentle torso sway, performed with happy emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",interactpresence__happy.bvh,bvh_without_t_pose,True
Behavior.InteractPresence,angry,愤怒,"A human performer maintains an engaged standing presence toward another person with brief gaze breaks and irregular gentle torso sway, performed with angry emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",interactpresence__angry.bvh,bvh_without_t_pose,True
Behavior.InteractPresence,surprise,惊讶,"A human performer maintains an engaged standing presence toward another person with brief gaze breaks and irregular gentle torso sway, performed with surprise emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",interactpresence__surprise.bvh,bvh_without_t_pose,True
Behavior.InteractPresence,fear,恐惧,"A human performer maintains an engaged standing presence toward another person with brief gaze breaks and irregular gentle torso sway, performed with fear emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",interactpresence__fear.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner01,neutral,中性,"A human performer greets a familiar person with a small nod, focused gaze, and a friendly chest-height wave, performed with neutral emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner01__neutral.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner01,sad,悲伤,"A human performer greets a familiar person with a small nod, focused gaze, and a friendly chest-height wave, performed with sad emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner01__sad.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner01,happy,开心,"A human performer greets a familiar person with a small nod, focused gaze, and a friendly chest-height wave, performed with happy emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner01__happy.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner01,angry,愤怒,"A human performer greets a familiar person with a small nod, focused gaze, and a friendly chest-height wave, performed with angry emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner01__angry.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner01,surprise,惊讶,"A human performer greets a familiar person with a small nod, focused gaze, and a friendly chest-height wave, performed with surprise emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner01__surprise.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner01,fear,恐惧,"A human performer greets a familiar person with a small nod, focused gaze, and a friendly chest-height wave, performed with fear emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner01__fear.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner02,neutral,中性,"A human performer does a playful peekaboo greeting toward a familiar person, performed with neutral emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner02__neutral.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner02,sad,悲伤,"A human performer does a playful peekaboo greeting toward a familiar person, performed with sad emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner02__sad.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner02,happy,开心,"A human performer does a playful peekaboo greeting toward a familiar person, performed with happy emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner02__happy.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner02,angry,愤怒,"A human performer does a playful peekaboo greeting toward a familiar person, performed with angry emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner02__angry.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner02,surprise,惊讶,"A human performer does a playful peekaboo greeting toward a familiar person, performed with surprise emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner02__surprise.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner02,fear,恐惧,"A human performer does a playful peekaboo greeting toward a familiar person, performed with fear emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner02__fear.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner03,neutral,中性,"A human performer playfully looks through imaginary binoculars toward a familiar person, performed with neutral emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner03__neutral.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner03,sad,悲伤,"A human performer playfully looks through imaginary binoculars toward a familiar person, performed with sad emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner03__sad.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner03,happy,开心,"A human performer playfully looks through imaginary binoculars toward a familiar person, performed with happy emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner03__happy.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner03,angry,愤怒,"A human performer playfully looks through imaginary binoculars toward a familiar person, performed with angry emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner03__angry.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner03,surprise,惊讶,"A human performer playfully looks through imaginary binoculars toward a familiar person, performed with surprise emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner03__surprise.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner03,fear,恐惧,"A human performer playfully looks through imaginary binoculars toward a familiar person, performed with fear emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner03__fear.bvh,bvh_without_t_pose,True
Behavior.GreetingOwner04,neutral,中性,"A human performer greets a familiar person with a cute head tilt and gentle wave, performed with neutral emotion.","text, subtitles, watermark, logo, robot, mechanical body, camera cut, cropped body, hidden hands, blurry limbs, extra fingers, distorted anatomy, unreadable pose, chaotic background",greetingowner04__neutral.bvh,bvh_without_t_pose,True
